model,model_path,task_id,api,instruction_id,source_api_index,source_instance_index,target_tool,prompt_tokens,y_tokens,y_mean_token_probability,y_log_probability,z_tokens,z_mean_token_probability,z_log_probability,a_tokens,a_mean_token_probability,a_log_probability
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Final Fantasy XIV::1,Final Fantasy XIV,1,339,7,getAchievement,663,47,0.9340845344481653,-13.368356704711914,16,0.8584600234207755,-12.339672088623047,31,0.9731165401397213,-1.0286846160888672
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Monster Hunter World::0,Monster Hunter World,0,136,0,searchWeapons,1374,67,0.9416368722626457,-18.433616638183594,36,0.9257656673052123,-16.693675994873047,31,0.960067948987407,-1.7399406433105469
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Monster Hunter World::1,Monster Hunter World,1,136,7,searchQuests,1380,62,0.8863489867731096,-41.74264717102051,30,0.803162276652184,-39.91302490234375,32,0.9643365275114775,-1.8296222686767578
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,RSS feed to JSON::0,RSS feed to JSON,0,160,1,getFeedItemsByTag,740,66,0.9055129342075124,-32.19512367248535,21,0.7054407988490172,-32.14387130737305,45,0.9988799307081435,-0.05125236511230469
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,RSS feed to JSON::1,RSS feed to JSON,1,160,4,sortFeedItems,746,68,0.9323536487666357,-42.384727478027344,22,0.793817375613144,-42.31880569458008,46,0.9986101272313491,-0.06592178344726562
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,PandaDoc::0,PandaDoc,0,365,6,createTemplate,764,76,0.9153348624608234,-16.86503791809082,16,0.815368119860068,-6.61195182800293,60,0.9419926604876916,-10.25308609008789
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,PandaDoc::1,PandaDoc,1,365,9,getDetails,763,45,0.8410612455955238,-29.551172256469727,15,0.7559124449888865,-6.616416931152344,30,0.8836356458988424,-22.934755325317383
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Urban Observatory::0,Urban Observatory,0,151,2,getSensorLocations,925,33,0.8412056240176202,-23.576412200927734,14,0.6365544668283941,-23.412025451660156,19,0.9920012135254709,-0.16438674926757812
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Urban Observatory::1,Urban Observatory,1,151,6,getHistoricalSensorData,935,104,0.9291707294112651,-39.09589958190918,16,0.6850852484167262,-19.72352409362793,88,0.9735499077739085,-19.37237548828125
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,GrünstromIndex::0,GrünstromIndex,0,214,1,getHistoricalGreenPowerIndex,815,75,0.9364310332387686,-20.967254638671875,21,0.8268709275649772,-15.814395904541016,54,0.9790377410007985,-5.152858734130859
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,GrünstromIndex::1,GrünstromIndex,1,214,2,getGreenPowerIndexCalculation,816,39,0.8856556572688695,-12.313606262207031,19,0.7827300124458576,-11.91140365600586,20,0.9834350198507309,-0.4022026062011719
